abandon|từ bỏ, bỏ rơi|desert, forsake, leave
ability|khả năng|capability, skill, capacity
absent|vắng mặt|away, missing, gone
absolute|tuyệt đối|complete, total, utter
abundant|dồi dào, phong phú|plentiful, ample, copious
accept|chấp nhận|agree, receive, approve
accurate|chính xác|precise, exact, correct
achieve|đạt được|accomplish, attain, realize
active|năng động|dynamic, lively, energetic
actual|thực tế|real, genuine, factual
adapt|thích nghi|adjust, modify, alter
add|thêm vào|include, append, attach
admire|ngưỡng mộ|respect, esteem, appreciate
adopt|áp dụng, nhận nuôi|embrace, take up, foster
advance|tiến bộ|progress, proceed, develop
advantage|lợi thế|benefit, edge, upper hand
advice|lời khuyên|guidance, counsel, suggestion
afraid|sợ hãi|scared, fearful, frightened
agree|đồng ý|concur, consent, accept
aid|giúp đỡ|help, assist, support
aim|mục tiêu|goal, target, objective
alert|cảnh giác|watchful, vigilant, attentive
allow|cho phép|permit, let, authorize
amazing|tuyệt vời|astonishing, wonderful, incredible
ancient|cổ xưa|old, antique, archaic
angry|tức giận|furious, mad, irritated
announce|thông báo|declare, proclaim, reveal
annoy|làm phiền|irritate, bother, disturb
answer|câu trả lời|reply, response, solution
anxious|lo lắng|worried, nervous, uneasy
apparent|rõ ràng|obvious, clear, evident
appeal|hấp dẫn, kháng cáo|attract, plea, charm
appear|xuất hiện|emerge, show up, arise
apply|áp dụng, nộp đơn|use, employ, submit
appreciate|đánh giá cao|value, treasure, recognize
approach|tiếp cận, phương pháp|method, come near, technique
appropriate|thích hợp|suitable, fitting, proper
approve|chấp thuận|endorse, sanction, authorize
area|khu vực|region, zone, district
argue|tranh cãi|dispute, debate, quarrel
arrange|sắp xếp|organize, order, set up
arrive|đến nơi|reach, come, show up
artificial|nhân tạo|synthetic, fake, man-made
ashamed|xấu hổ|embarrassed, humiliated, guilty
aspect|khía cạnh|facet, feature, angle
assist|hỗ trợ|help, aid, support
assume|giả định|presume, suppose, guess
assure|đảm bảo|guarantee, promise, confirm
attach|đính kèm|fasten, connect, join
attempt|cố gắng, nỗ lực|try, endeavor, effort
ascend|đi lên, leo lên|climb, mount, rise
assemble|lắp ráp, tập hợp|gather, collect, congregate
assert|khẳng định|declare, state, maintain
assign|phân công, bổ nhiệm|allocate, appoint, allot
astonish|làm kinh ngạc|amaze, surprise, astound
attack|tấn công|assault, strike, invade
attract|thu hút|allure, charm, fascinate
authentic|đích thực, xác thực|genuine, real, bona fide
available|có sẵn|accessible, obtainable, ready
avoid|tránh né|shun, evade, elude
aware|nhận thức được|conscious, mindful, cognizant
awkward|vụng về, lóng ngóng|clumsy, uncoordinated, graceless
absorb|hấp thụ, tiếp thu|soak up, consume, assimilate
accelerate|tăng tốc, thúc đẩy|speed up, hasten, quicken
access|truy cập, tiếp cận|entrance, entry, approach
accommodate|cung cấp chỗ ở, đáp ứng|house, lodge, suit, fit
accompany|đi cùng, đồng hành|go with, escort, follow
accomplice|đồng phạm|partner, collaborator, accessory
accumulate|tích lũy, gom tụ|amass, gather, collect
accuse|buộc tội, kết án|blame, charge, incriminate
acquire|thu được, đạt được|obtain, gain, get, earn
acquit|tha bổng, tuyên trắng án|clear, absolve, exonerate
adamant|kiên quyết, cứng rắn|inflexible, resolute, stubborn
adequate|đầy đủ, thỏa đáng|sufficient, enough, ample
adhere|dính chặt, tuân thủ|stick, cling, comply, follow
adjacent|liền kề, sát cạnh|next to, bordering, neighboring
adjourn|dời lại, hoãn lại|postpone, delay, suspend
adjust|điều chỉnh, thích nghi|adapt, modify, alter
